Gene_A,Gene_B
GLIS2,POU6F2
GMEB2,POU6F2
HIVEP1,POU6F2
HOXC5,POU6F2
HOXC8,POU6F2
IRX4,POU6F2
ISX,POU6F2
MEIS2,POU6F2
MSX2,POU6F2
NEUROG3,POU6F2
NFYC,POU6F2
POU2F1,POU6F2
FOXA3,PPARA
HOXC8,PPARA
NCOA1,PPARA
NCOA2,PPARA
NR1H3,PPARA
NCOA1,PPARD
NCOA2,PPARD
NCOA3,PPARD
GATA5,PPARG
HMGA1,PPARG
KLF5,PPARG
MAFF,PPARG
MSX2,PPARG
NCOA1,PPARG
NCOA2,PPARG
NCOA3,PPARG
FOXK2,PRDM10
CREB5,PRDM14
DMRT3,PRDM14
HOXB5,PRDM14
HOXC8,PRDM14
MYPOP,PRDM14
PATZ1,PRDM14
PAX2,PRDM14
NFATC1,PRDM15
ESR1,PRDM2
EMX1,PRDM4
GFI1,PRDM5
ARID5A,PRDM6
FOXD4L1,PRDM6
HOXC8,PRDM6
PATZ1,PRDM6
ESR1,PREB
JUN,PRMT3
MEOX2,PRMT3
PPARD,PRMT3
BATF2,PROP1
HOXA1,PROP1
NR1D2,PROP1
OLIG3,PROP1
POU6F2,PROP1
ESRRA,PROX1
ESRRG,PROX1
HNF4A,PROX1
IRF4,PROX1
NR3C2,PROX1
NR5A2,PROX1
PPARD,PROX1
E2F1,PURA
ESR1,PURA
ESR2,PURA
JUN,PURA
ESR1,PURB
ESR2,PURB
MBD2,PURB
ALX1,RARA
CLOCK,RARA
ESR1,RARA
HMGA1,RARA
IRX4,RARA
KLF5,RARA
NCOA1,RARA
NCOA2,RARA
NCOA3,RARA
NPAS2,RARA
NR1H2,RARA
NR2C1,RARA
PPARG,RARA
GATA3,RARB
MEOX2,RARB
NCOA1,RARB
NCOA2,RARB
MYF5,RARG
NCOA1,RARG
NCOA3,RARG
RARA,RARG
ARNT2,RBCK1
CREB5,RBCK1
ESR1,RBCK1
HOXC8,RBCK1
NR1I2,RBCK1
PCGF2,RBCK1
ADNP,RBPJ
ALX4,RBPJ
ARID3B,RBPJ
CGGBP1,RBPJ
CREM,RBPJ
CUX1,RBPJ
DLX5,RBPJ
GATAD2A,RBPJ
HMG20B,RBPJ
HOXA10,RBPJ
HOXB9,RBPJ
HOXC13,RBPJ
HOXD13,RBPJ
L3MBTL3,RBPJ
LCOR,RBPJ
MBD1,RBPJ
MBD2,RBPJ
MECP2,RBPJ
NFATC1,RBPJ
NFIA,RBPJ
NFIC,RBPJ
NFIX,RBPJ
NKX2-5,RBPJ
NR2F2,RBPJ
PATZ1,RBPJ
PBX1,RBPJ
PHF21A,RBPJ
PITX2,RBPJ
ARNT2,REL
BARHL2,REL
BCL6,REL
CENPX,REL
CGGBP1,REL
DMRT3,REL
ESRRA,REL
ESRRG,REL
FOXO4,REL
IRF4,REL
MBD3,REL
NEUROG3,REL
NFKB1,REL
NFKB2,REL
PRDM10,REL
AHR,RELA
AKAP8L,RELA
ARNT,RELA
BATF2,RELA
CDX2,RELA
EGR1,RELA
ELF3,RELA
ESR1,RELA
FOS,RELA
FOXP3,RELA
GLIS1,RELA
GTF2B,RELA
IRF1,RELA
IRF4,RELA
ISL1,RELA
MEOX2,RELA
MYC,RELA
NCOA3,RELA
NFIC,RELA
NFKB1,RELA
NFKB2,RELA
NR3C1,RELA
POU6F2,RELA
PPARD,RELA
PPARG,RELA
REL,RELA
NFKB1,RELB
NFKB2,RELB
REL,RELB
RELA,RELB
ESR1,REPIN1
ESR1,REXO4
ESR2,REXO4
REPIN1,REXO4
FOXJ1,RFX1
FOXJ2,RFX1
FOXN2,RFX1
FOXJ1,RFX2
FOXJ2,RFX2
CREB1,RFX3
FOXJ1,RFX3
FOXJ2,RFX3
MBD2,RFX3
MEOX2,RFX3
PKNOX1,RFX3
RFX1,RFX3
ARNT2,RFX6
DMRT3,RFX6
ESR2,RFX6
PATZ1,RFX6
PITX1,RFX6
RFX2,RFX6
RFX3,RFX6
NPAS2,RHOXF1
ARID5A,RHOXF2
BATF3,RHOXF2
CREM,RHOXF2
CRX,RHOXF2
HOXC13,RHOXF2
MSX2,RHOXF2
NANOG,RHOXF2
NKX3-1,RHOXF2
PITX1,RHOXF2
POU2AF1,RHOXF2
FOXP3,RORA
NCOA1,RORA
PROX1,RORA
LCOR,RORB
NCOA1,RORB
ARNTL,RORC
CLOCK,RORC
JUN,RORC
NCOA1,RORC
NCOA2,RORC
DNMT1,RUNX1
ELF2,RUNX1
FOS,RUNX1
JUN,RUNX1
MYC,RUNX1
OLIG3,RUNX1
FOS,RUNX2
JUN,RUNX2
BHLHE40,RXRA
NCOA1,RXRA
NCOA2,RXRA
NCOA3,RXRA
NPAS2,RXRA
NR1H2,RXRA
NR1H3,RXRA
NR1H4,RXRA
NR1I2,RXRA
NR1I3,RXRA
NR3C2,RXRA
NR4A1,RXRA
NR4A2,RXRA
POU2F1,RXRA
PPARA,RXRA
PPARD,RXRA
PPARG,RXRA
RARA,RXRA
RARB,RXRA
RARG,RXRA
RELA,RXRA
NCOA1,RXRB
NCOA2,RXRB
NR1H2,RXRB
NR1H3,RXRB
NR1H4,RXRB
NR1I2,RXRB
NR2C2,RXRB
NR3C1,RXRB
NR4A2,RXRB
PLSCR1,RXRB
PPARD,RXRB
PPARG,RXRB
RARA,RXRB
RARB,RXRB
RARG,RXRB
CEBPZ,RXRG
HOXD4,RXRG
NCOA2,RXRG
NR1H2,RXRG
NR1H3,RXRG
NR1H4,RXRG
NR1I2,RXRG
PPARA,RXRG
PPARD,RXRG
PPARG,RXRG
RARA,RXRG
RARB,RXRG
RARG,RXRG
ESR1,SAFB
JUN,SAFB
SAFB,SAFB2
FOXB1,SALL1
FOXC1,SALL1
FOXC2,SALL1
FOXE1,SALL1
FOXG1,SALL1
FOXJ2,SALL1
IRF3,SALL2
LHX6,SALL2
FOXA1,SATB1
FOXB1,SATB1
FOXC1,SATB1
FOXC2,SATB1
FOXE1,SATB1
FOXF1,SATB1
FOXG1,SATB1
FOXL1,SATB1
FOXN1,SATB1
FOXO1,SATB1
FOXP1,SATB1
FOXP3,SATB1
FOXQ1,SATB1
FOXS1,SATB1
JUN,SATB1
MEOX2,SATB1
RBPJ,SATB1
CTCF,SATB2
FOXA1,SATB2
FOXA3,SATB2
FOXB1,SATB2
FOXC1,SATB2
FOXC2,SATB2
FOXE1,SATB2
FOXF1,SATB2
FOXG1,SATB2
FOXI2,SATB2
FOXJ2,SATB2
FOXK2,SATB2
FOXL1,SATB2
FOXN1,SATB2
FOXO1,SATB2
FOXP1,SATB2
FOXP3,SATB2
FOXQ1,SATB2
FOXS1,SATB2
JUN,SATB2
LHX6,SATB2
RBPJ,SATB2
SATB1,SATB2
CBX2,SCMH1
PCGF2,SCMH1
BHLHE40,SETDB1
CHCHD3,SETDB1
FLYWCH1,SETDB1
FOXP4,SETDB1
HOXB13,SETDB1
HOXC4,SETDB1
HSF2,SETDB1
KLF12,SETDB1
MBD1,SETDB1
ARNT,SIM1
ARNT2,SIM1
ARNT,SIM2
ARNT2,SIM2
FOXN1,SIM2
FOXR2,SIM2
FOXE1,SIX1
FOXL2,SIX1
POU6F2,SIX1
REL,SIX1
GLI2,SKI
GLI3,SKI
PRDM16,SKI
RARA,SKI
HEY1,SKIL
HEYL,SKIL
SETDB1,SKIL
SKI,SKIL
AR,SMAD1
DACH1,SMAD1
HBP1,SMAD1
HOXA5,SMAD1
HOXC8,SMAD1
MBD1,SMAD1
MGA,SMAD1
PREB,SMAD1
RFX1,SMAD1
RUNX2,SMAD1
SKI,SMAD1
AR,SMAD3
ATF2,SMAD3
ATF3,SMAD3
EGR1,SMAD3
EPAS1,SMAD3
FLI1,SMAD3
FOS,SMAD3
FOXH1,SMAD3
FOXO3,SMAD3
HEY1,SMAD3
HEYL,SMAD3
HIF1A,SMAD3
HIVEP1,SMAD3
HOXC11,SMAD3
ISL1,SMAD3
JUN,SMAD3
JUNB,SMAD3
KMT2B,SMAD3
LEF1,SMAD3
MAX,SMAD3
MBD1,SMAD3
MECOM,SMAD3
MEOX2,SMAD3
MTF2,SMAD3
MYC,SMAD3
NR3C1,SMAD3
NR4A1,SMAD3
PIN1,SMAD3
PLAG1,SMAD3
PLAGL1,SMAD3
PRDM16,SMAD3
PRDM4,SMAD3
PROX1,SMAD3
RELA,SMAD3
RUNX1,SMAD3
RUNX2,SMAD3
RUNX3,SMAD3
SKI,SMAD3
SKIL,SMAD3
SMAD1,SMAD3
ATF2,SMAD4
ESR1,SMAD4
FOXH1,SMAD4
FOXO3,SMAD4
GATA2,SMAD4
HMG20A,SMAD4
JUN,SMAD4
JUNB,SMAD4
LHX4,SMAD4
MYOD1,SMAD4
NFIX,SMAD4
NFKB1,SMAD4
NKX2-5,SMAD4
PAX8,SMAD4
RELA,SMAD4
RFX1,SMAD4
SKI,SMAD4
SKIL,SMAD4
SMAD1,SMAD4
SMAD3,SMAD4
MBD1,SMAD5
POU6F2,SMAD5
RUNX2,SMAD5
SMAD1,SMAD5
SMAD4,SMAD5
ARNT,SMAD9
E4F1,SMAD9
FLI1,SMAD9
HEY1,SMAD9
HEYL,SMAD9
MBD1,SMAD9
PPARD,SMAD9
RFX1,SMAD9
SMAD3,SMAD9
SMAD4,SMAD9
NFYB,SMYD3
PBX2,SMYD3
DNMT1,SNAI1
EGR2,SNAI1
HMG20A,SNAI1
HMG20B,SNAI1
HOXD4,SNAI1
PAX2,SNAI1
MBD1,SNAPC2
BATF,SNAPC5
CREB5,SNAPC5
DDIT3,SNAPC5
HMG20B,SNAPC5
MYF5,SNAPC5
ARID5A,SOHLH1
ESR1,SON
CRX,SOX10
HSF4,SOX10
PAX3,SOX10
POU6F2,SOX10
SETDB1,SOX10
CRX,SOX14
FOXH1,SOX14
NAIF1,SOX14
NR3C1,SOX14
BHLHE40,SOX15
HOXB9,SOX15
HSFY1,SOX15
HSFY2,SOX15
ALX4,SOX2
CUX1,SOX2
GATAD2A,SOX2
MBD3,SOX2
POU2F1,SOX2
POU5F1,SOX2
SALL2,SOX2
SOX14,SOX2
FLI1,SOX30
DACH1,SOX4
MYC,SOX4
ARID5A,SOX5
CRX,SOX5
MSX2,SOX5
SMAD1,SOX5
SMAD5,SOX5
SMAD5,SOX7
HOXC11,SOX8
MAF,SOX9
NR5A1,SOX9
AR,SP1
CTCFL,SP1
E2F1,SP1
EGR1,SP1
EPAS1,SP1
ESR1,SP1
ESR2,SP1
GATA4,SP1
HIF1A,SP1
HMGA1,SP1
HNF4A,SP1
HOXC11,SP1
JUN,SP1
KLF10,SP1
KLF4,SP1
KLF6,SP1
MECP2,SP1
MEF2C,SP1
MYC,SP1
MYCN,SP1
NFKB1,SP1
NFYA,SP1
NFYC,SP1
NR2F1,SP1
NR5A1,SP1
PGR,SP1
POU2F1,SP1
PPARG,SP1
RARA,SP1
RELA,SP1
RXRA,SP1
SMAD3,SP1
SMAD4,SP1
AKAP8,SP100
AKAP8L,SP100
ARID3A,SP100
BCL11A,SP100
BCL11B,SP100
CREM,SP100
CTCF,SP100
ETS1,SP100
FOXC1,SP100
FOXP1,SP100
FOXP4,SP100
GATA4,SP100
GLI3,SP100
L3MBTL3,SP100
MAFB,SP100
MECP2,SP100
MYB,SP100
SALL2,SP100
BACH2,SP110
CENPB,SP110
KAT7,SP110
RUNX3,SP110
SETDB2,SP110
PIN1,SP140
NFYC,SP2
NRF1,SP2
SETDB1,SP2
ESR1,SP3
LIN54,SP3
PHF21A,SP3
SP1,SP3
ELK3,SP4
FOXP2,SP4
HIVEP1,SP4
NFYC,SP4
NRF1,SP4
POU2F1,SP4
HEYL,SP8
MECOM,SPDEF
NKX3-1,SPDEF
PCGF2,SPDEF
PRDM16,SPDEF
ESR1,SPEN
RBPJ,SPEN
CEBPA,SPI1
GATA1,SPI1
GATA2,SPI1
IRF1,SPI1
IRF4,SPI1
IRF8,SPI1
JUN,SPI1
MECP2,SPI1
IRF4,SPIB
JUN,SRCAP
HNF4A,SREBF1
CREB1,SREBF2
EGR1,SREBF2
HNF4A,SREBF2
NFYA,SREBF2
NFYC,SREBF2
SP1,SREBF2
ATF6,SRF
ELK1,SRF
ELK4,SRF
GATA4,SRF
MYOD1,SRF
MYOG,SRF
NCOA1,SRF
NFYA,SRF
RARA,SRF
RXRG,SRF
E2F1,STAT1
ESR1,STAT1
FOS,STAT1
FOXA3,STAT1
IRF1,STAT1
IRF9,STAT1
RXRA,STAT1
SMAD4,STAT1
IRF9,STAT2
STAT1,STAT2
AR,STAT3
ATF3,STAT3
BATF3,STAT3
DNMT1,STAT3
HESX1,STAT3
HIF1A,STAT3
HIVEP1,STAT3
HOXC11,STAT3
IRF1,STAT3
KLF15,STAT3
NCOA1,STAT3
NFKB1,STAT3
NR3C1,STAT3
NR4A1,STAT3
PPARD,STAT3
RELA,STAT3
SP1,STAT3
STAT1,STAT3
IRF4,STAT4
KLF11,STAT4
EPAS1,STAT5A
ESR1,STAT5A
OLIG1,STAT5A
PPARG,STAT5A
HIVEP1,STAT5B
STAT5A,STAT5B
ANKZF1,STAT6
CEBPZ,STAT6
IRF4,STAT6
NCOA1,STAT6
STAT2,STAT6
STAT3,STAT6
GATA1,TAL1
GATA3,TAL1
HOXB9,TAL1
RUNX1,TAL1
SP1,TAL1
AHR,TBP
BRF2,TBP
CXXC1,TBP
DR1,TBP
DRAP1,TBP
E2F1,TBP
ESR1,TBP
FOS,TBP
FOXJ2,TBP
FOXK2,TBP
FOXN1,TBP
FOXP1,TBP
GTF2B,TBP
HMBOX1,TBP
JUN,TBP
MAX,TBP
MSX1,TBP
RBPJ,TBP
RELA,TBP
RXRA,TBP
SNAPC2,TBP
SP1,TBP
SPI1,TBP
TBP,TBPL1
FOXP2,TBR1
HOXA1,TBR1
JUN,TBR1
HOXA1,TBX15
GCM2,TBX19
HOXC8,TBX19
IRX6,TBX19
PITX1,TBX19
CEBPE,TBX2
ESR1,TBX2
MEIS2,TBX2
SP100,TBX2
HOXC8,TBX22
PITX1,TBX22
PITX2,TBX22
PROP1,TBX22
SP100,TBX3
NKX2-5,TBX5
CRX,TBX6
HSFY1,TBX6
HSFY2,TBX6
MEOX2,TBX6
POU2AF1,TBX6
POU6F2,TBX6
TBX15,TBX6
TBX19,TBX6
ASCL3,TCF12
ASCL4,TCF12
FERD3L,TCF12
FIGLA,TCF12
HAND1,TCF12
HAND2,TCF12
MSC,TCF12
MSGN1,TCF12
MYF6,TCF12
MYOG,TCF12
NEUROD1,TCF12
NEUROG1,TCF12
NEUROG3,TCF12
NHLH2,TCF12
PIN1,TCF12
SP100,TCF12
STAT5A,TCF12
TAL1,TCF12
TAL2,TCF12
GATAD2A,TCF20
GATAD2B,TCF20
HMG20A,TCF20
SMAD1,TCF20
HOXB6,TCF21
KLF15,TCF21
MYOD1,TCF21
TCF12,TCF21
FIGLA,TCF23
TCF12,TCF23
ASCL1,TCF3
ASCL3,TCF3
BHLHE40,TCF3
DACH1,TCF3
GLIS1,TCF3
HAND1,TCF3
HAND2,TCF3
LMX1A,TCF3
MYF5,TCF3
MYOD1,TCF3
MYOG,TCF3
NEUROD1,TCF3
RUNX1,TCF3
SOX2,TCF3
TAL1,TCF3
TCF21,TCF3
ASCL1,TCF4
ASCL3,TCF4
ASCL4,TCF4
ATOH7,TCF4
DMRT3,TCF4
FERD3L,TCF4
FIGLA,TCF4
HAND1,TCF4
HAND2,TCF4
LHX4,TCF4
MSC,TCF4
MSGN1,TCF4
MYOD1,TCF4
MYOG,TCF4
NEUROD1,TCF4
NEUROD4,TCF4
NEUROG1,TCF4
NEUROG3,TCF4
NHLH2,TCF4
NR4A1,TCF4
PIN1,TCF4
PRDM6,TCF4
RELA,TCF4
SETDB1,TCF4
TAL1,TCF4
TAL2,TCF4
TCF12,TCF4
TCF21,TCF4
TCF23,TCF4
TCF3,TCF4
CRX,TCF7L2
MSX2,TCF7L2
SRF,TEAD1
ADNP,TEAD2
ARID3B,TEAD2
ARNT,TEAD2
ATF3,TEAD2
DACH1,TEAD2
DLX5,TEAD2
FOXK2,TEAD2
GLIS1,TEAD2
GLIS2,TEAD2
HIF1A,TEAD2
HOXA10,TEAD2
HOXB13,TEAD2
HOXB9,TEAD2
HOXC13,TEAD2
HOXD13,TEAD2
MECP2,TEAD2
MYBL2,TEAD2
MYC,TEAD2
NFATC1,TEAD2
NFIC,TEAD2
NR2F1,TEAD2
NR2F2,TEAD2
NR3C1,TEAD2
POU2F1,TEAD2
POU2F2,TEAD2
RUNX1,TEAD2
SALL1,TEAD2
SATB1,TEAD2
SATB2,TEAD2
TBX2,TEAD2
HOMEZ,TEAD4
HOXB13,TEAD4
PRDM14,TEAD4
RUNX1,TEAD4
TEAD1,TEAD4
TEAD2,TEAD4
FOXM1,TERF1
HMGN3,TERF1
HOXA3,TERF1
PA2G4,TERF1
SALL1,TERF1
SMAD9,TERF1
SP100,TERF1
ESR1,TERF2
HMGN3,TERF2
JUN,TERF2
NAIF1,TERF2
SP100,TERF2
TERF1,TERF2
HSF2,TET3
FOXB1,TFAP2A
FOXE1,TFAP2A
JUN,TFAP2A
MAX,TFAP2A
RELA,TFAP2A
SP1,TFAP2A
SETDB1,TFAP2B
ESR1,TFAP2C
NR1I2,TFAP2C
AKAP8L,TFAP2D
ESR1,TFAP2D
HOXD12,TFAP2D
IKZF3,TFAP2D
PITX1,TFAP2D
TFAP2A,TFAP2D
FOXA1,TFAP4
FOXE1,TFAP4
FOXK2,TFAP4
PRDM5,TFAP4
RBPJ,TFAP4
E2F8,TFCP2
FOXC1,TFCP2
FOXC2,TFCP2
FOXE1,TFCP2
FOXN1,TFCP2
FOXP1,TFCP2
FOXP3,TFCP2
FOXQ1,TFCP2
JUN,TFCP2
PHF1,TFCP2
RXRB,TFCP2
TEAD2,TFCP2
E2F1,TFDP1
E2F2,TFDP1
E2F3,TFDP1
E2F4,TFDP1
E2F5,TFDP1
E2F6,TFDP1
MAX,TFDP1
MGA,TFDP1
PCGF6,TFDP1
E2F1,TFDP2
E2F2,TFDP2
E2F3,TFDP2
E2F4,TFDP2
E2F5,TFDP2
E2F6,TFDP2
MAX,TFDP2
PCGF6,TFDP2
TFDP1,TFDP2
E2F3,TFDP3
E2F4,TFDP3
HSF2,TFDP3
KCMF1,TFDP3
E2F3,TFE3
MITF,TFE3
SMAD3,TFE3
SMAD4,TFE3
SMAD3,TGIF1
AEBP2,THAP1
KLF12,THAP1
PHF1,THAP1
POU6F2,THAP1
ARNTL,THAP11
CLOCK,THAP11
HMG20A,THAP11
MAX,THAP11
PHF21A,THAP11
ESR1,THAP12
LHX4,THAP12
KLF11,THAP3
ASH1L,THAP7
CEBPZ,THAP7
HINFP,THAP7
HOXA1,THAP7
PIN1,THAP7
SETDB1,THAP8
FOXJ1,THRA
L3MBTL3,THRA
MEOX2,THRA
NCOA1,THRA
NCOA2,THRA
RXRA,THRA
HMGN3,THRB
NCOA1,THRB
NCOA2,THRB
NCOA3,THRB
NR2F6,THRB
RXRA,THRB
RXRB,THRB
RXRG,THRB
JUN,THYN1
IRF9,TLX2
MEIS1,TLX2
POU2F1,TLX2
POU6F2,TLX2
CRX,TLX3
FOSB,TLX3
FOXH1,TLX3
IRF9,TLX3
MEIS1,TLX3
MSX2,TLX3
POU2AF1,TLX3
POU6F2,TLX3
REL,TLX3
SP1,TLX3
TBX22,TLX3
AR,TMF1
ESR1,TMF1
ESR2,TMF1
FOXK2,TMF1
GFI1B,TMF1
NR3C1,TMF1
SATB1,TOPORS
ARNT,TP53
ATF3,TP53
BACH1,TP53
BHLHE40,TP53
CREB1,TP53
CREBZF,TP53
CXXC1,TP53
DNMT1,TP53
E2F1,TP53
E4F1,TP53
EGR1,TP53
ESR1,TP53
ETS1,TP53
ETS2,TP53
FOXA3,TP53
FOXB1,TP53
FOXC1,TP53
FOXG1,TP53
FOXK1,TP53
FOXK2,TP53
FOXN1,TP53
FOXO3,TP53
FOXP1,TP53
FOXQ1,TP53
FOXS1,TP53
GLI1,TP53
HEY1,TP53
HIF1A,TP53
HINFP,TP53
HNF4A,TP53
JUN,TP53
KMT2A,TP53
L3MBTL1,TP53
MYC,TP53
NCOA1,TP53
NCOA2,TP53
NFATC1,TP53
NFYA,TP53
NFYB,TP53
NR3C1,TP53
NR4A1,TP53
PATZ1,TP53
PHF1,TP53
PIN1,TP53
PPARG,TP53
RELA,TP53
SNAI1,TP53
SP1,TP53
SP100,TP53
SP110,TP53
SP3,TP53
SREBF2,TP53
STAT1,TP53
TBP,TP53
TCF4,TP53
TEAD2,TP53
TFAP2A,TP53
TFDP1,TP53
THAP8,TP53
THRB,TP53
TOPORS,TP53
EMX1,TP63
PIN1,TP63
TP53,TP63
MYC,TP73
NFYB,TP73
NFYC,TP73
TP53,TP73
TP63,TP73
ESRRG,TRERF1
NR5A1,TRERF1
KMT2B,TSC22D1
SETDB1,TSC22D1
SP110,TSC22D1
TP53,TSC22D1
BAZ2A,TTF1
ESR1,TTF1
FOXL2,TTF1
SMAD1,TTF1
HOXA5,TWIST1
MAX,TWIST1
RELA,TWIST1
STAT3,TWIST1
TCF3,TWIST1
TCF4,TWIST1
TP53,TWIST1
ESR1,UBP1
FOXA1,UBP1
FOXC1,UBP1
FOXC2,UBP1
FOXE1,UBP1
FOXN1,UBP1
FOXP1,UBP1
FOXP3,UBP1
TFCP2,UBP1
BPTF,USF1
FOS,USF1
FOSL1,USF1
GTF2I,USF1
HOMEZ,USF1
TCF3,USF1
FOS,USF2
FOXJ2,USF2
RELA,USF2
TEAD2,USF2
USF1,USF2
ESRRG,VAX1
HMBOX1,VAX1
POU6F2,VAX2
HMGN3,VDR
MYC,VDR
NCOA1,VDR
NCOA2,VDR
NCOA3,VDR
NR1H2,VDR
RXRA,VDR
RXRB,VDR
RXRG,VDR
SMAD3,VDR
TCF3,VDR
ARID5A,VENTX
BATF2,VENTX
BHLHE40,VENTX
CREM,VENTX
GLIS2,VENTX
HOXC8,VENTX
IRF9,VENTX
POU6F2,VENTX
RHOXF2,VENTX
SOX14,VENTX
TBX15,VENTX
TBX19,VENTX
TBX22,VENTX
ESR1,VEZF1
FOSB,VEZF1
HIVEP1,VEZF1
HOMEZ,VEZF1
LHX3,VEZF1
MEIS3,VEZF1
MSX2,VEZF1
NFYA,VEZF1
NRF1,VEZF1
PLAGL2,VEZF1
POU6F2,VEZF1
SOX13,VEZF1
SP4,VEZF1
DR1,VSX2
GTF2B,VSX2
KLF11,VSX2
CHAMP1,WIZ
ESR1,WIZ
FOXE1,WIZ
FOXG1,WIZ
MAX,WIZ
PIN1,WIZ
TSC22D1,WIZ
BHLHE40,WT1
EGR1,WT1
GLIS2,WT1
HMBOX1,WT1
MYC,WT1
SOX4,WT1
TP53,WT1
ATF6,XBP1
CREBZF,XBP1
GLI1,XBP1
ARID3A,XPA
MEOX2,XPA
PRDM16,XPA
SKIL,XPA
ESR1,YBX1
JUN,YBX1
MECP2,YBX1
MYC,YBX1
NFX1,YBX1
PRDM9,YBX1
PURA,YBX1
TP53,YBX1
ELK4,YBX3
ESR1,YBX3
JUN,YBX3
YBX1,YBX3
ATF2,YY1
ATF6,YY1
FOXB1,YY1
FOXJ2,YY1
FOXL1,YY1
FOXN1,YY1
GTF2I,YY1
LHX3,YY1
LHX4,YY1
MECP2,YY1
MYC,YY1
NFKB1,YY1
NR1H2,YY1
SMAD3,YY1
SP1,YY1
SP100,YY1
TP53,YY1
PAX6,ZBED1
MEOX2,ZBED4
FOXK2,ZBTB10
FOXP1,ZBTB10
FOXQ1,ZBTB10
PHF1,ZBTB10
RBPJ,ZBTB10
ESR1,ZBTB11
BAZ2B,ZBTB14
KLF11,ZBTB14
PIN1,ZBTB14
BCL6,ZBTB16
HDX,ZBTB16
HOXA1,ZBTB16
HOXC5,ZBTB16
MEOX2,ZBTB16
PHF1,ZBTB16
PLSCR1,ZBTB16
RARA,ZBTB16
REL,ZBTB16
SMAD3,ZBTB16
SP1,ZBTB16
TERF1,ZBTB16
VDR,ZBTB16
BCL6,ZBTB17
MYC,ZBTB17
MYCN,ZBTB17
TP53,ZBTB17
LHX4,ZBTB2
MEOX2,ZBTB2
PIN1,ZBTB2
STAT6,ZBTB2
NR3C1,ZBTB20
PPARG,ZBTB20
CREB1,ZBTB21
GATA1,ZBTB22
PIN1,ZBTB22
BACH2,ZBTB24
BCL11A,ZBTB24
HMBOX1,ZBTB24
KLF15,ZBTB24
LHX8,ZBTB24
POU6F2,ZBTB24
REXO4,ZBTB24
DDIT3,ZBTB25
HOMEZ,ZBTB25
ZBTB1,ZBTB25
ZBTB2,ZBTB25
HMBOX1,ZBTB26
SOX5,ZBTB26
FOXM1,ZBTB3
GATA4,ZBTB3
LEF1,ZBTB3
NR3C1,ZBTB3
PKNOX1,ZBTB3
PPARG,ZBTB3
PROX1,ZBTB3
SKIL,ZBTB3
SMAD3,ZBTB3
THRA,ZBTB3
ELF2,ZBTB32
GATA2,ZBTB32
HOXD4,ZBTB32
MLX,ZBTB32
PATZ1,ZBTB32
PITX1,ZBTB32
RHOXF2,ZBTB32
TFAP2D,ZBTB32
TLX3,ZBTB32
VENTX,ZBTB32
ZBTB16,ZBTB32
FOXA3,ZBTB33
FOXB1,ZBTB33
FOXG1,ZBTB33
FOXH1,ZBTB33
FOXM1,ZBTB33
FOXP3,ZBTB33
FOXQ1,ZBTB33
GATAD2B,ZBTB33
PCGF6,ZBTB33
TP53,ZBTB33
BACH2,ZBTB34
FOXC2,ZBTB34
FOXE1,ZBTB34
FOXJ2,ZBTB34
FOXP3,ZBTB34
ZBTB26,ZBTB34
CARF,ZBTB38
POU6F2,ZBTB4
OTX1,ZBTB42
PIN1,ZBTB42
ZBTB16,ZBTB42
ZBTB24,ZBTB43
SMAD1,ZBTB44
THAP1,ZBTB48
ZBTB26,ZBTB48
ZBTB17,ZBTB49
ZBTB2,ZBTB49
PPARG,ZBTB5
SKIL,ZBTB6
ZBTB26,ZBTB6
ZBTB48,ZBTB6
AR,ZBTB7A
BCL6,ZBTB7A
ESR1,ZBTB7A
HOMEZ,ZBTB7A
RELA,ZBTB7A
SMAD4,ZBTB7A
TP53,ZBTB7A
BCL6,ZBTB7B
BCL6B,ZBTB7B
ESR1,ZBTB7B
PIN1,ZBTB7B
RELA,ZBTB7B
ZBTB42,ZBTB7B
ZBTB5,ZBTB7B
BAZ2B,ZBTB8A
HIC2,ZBTB8A
JRK,ZBTB8A
KAT7,ZBTB8A
ZBTB17,ZBTB8A
ZBTB24,ZBTB8A
ZBTB48,ZBTB8A
ZBTB49,ZBTB8A
FOXD4L6,ZBTB9
MYBL2,ZBTB9
NFKB1,ZBTB9
NR3C1,ZBTB9
PIN1,ZBTB9
PPARG,ZBTB9
ZBTB24,ZBTB9
ZBTB26,ZBTB9
ZBTB48,ZBTB9
SMAD1,ZEB2
SMAD3,ZEB2
SMAD5,ZEB2
SMAD9,ZEB2
TEAD2,ZEB2
POU6F2,ZFHX2
BHLHE40,ZFHX3
ESR1,ZFHX3
HIVEP1,ZFHX3
MSX2,ZFHX3
POU2F1,ZFHX3
POU6F2,ZFHX3
POU6F2,ZFP1
CEBPE,ZFP2
SAFB,ZFP41
SAFB2,ZFP41
MAFB,ZFP64
SETDB1,ZFP64
ZBTB9,ZFP64
ESR1,ZFP91
ESR2,ZFP91
FOXA1,ZFP91
POU6F2,ZFP91
ZFP41,ZFP91
GATA1,ZFPM2
GATA4,ZFPM2
STAT3,ZFPM2
DMRT3,ZFY
ZBTB9,ZFY
ESR1,ZGPAT
GATAD2B,ZGPAT
IKZF3,ZGPAT
TERF2,ZGPAT
THAP1,ZGPAT
THAP6,ZGPAT
ZBTB8A,ZGPAT
BHLHE40,ZHX1
CREB1,ZHX1
ESR1,ZHX1
LHX9,ZHX1
