Gene_A,Gene_B
ABCC2,MCPH1
ABCC2,PDZK1
ABCC2,SHANK3
ABCC2,UBQLN1
ABCC4,LPAR1
ABCC5,AK2
ABCC5,SERPINA3
ABCC5,TMEM17
ABCC6,A1BG
ABCC6,AK2
ABCC6,CRYL1
ABCC8,KCNJ11
ABCC8,KIF14
ABCC9,EEF1G
ABCD1,ABCD2
ABCD1,ABCD3
ABCD1,ANLN
ABCD1,BSG
ABCD1,ECT2
ABCD1,IQCF1
ABCD1,KIF14
ABCD1,KIF20A
ABCD1,KIF23
ABCD1,PEX19
ABCD1,RAB7A
ABCD1,RPSA
ABCD1,SLC39A4
ABCD1,UBC
ABCD1,VAPA
ABCD1,VPS26B
ABCD3,ANLN
ABCD3,BRF2
ABCD3,C15ORF48
ABCD3,CLN3
ABCD3,DEPDC1B
ABCD3,DYRK1A
ABCD3,GNAO1
ABCD3,HIPK4
ABCD3,JUN
ABCD3,KIF14
ABCD3,KIF20A
ABCD3,MYH14
ABCD3,NDUFA4
ABCD3,NET1
ABCD3,NMES1
ABCD3,PABIR3
ABCD3,PELO
ABCD3,PEX19
ABCD3,PRC1
ABCD3,PRKD1
ABCD3,PTP4A3
ABCD3,PTPN1
ABCD3,RAB5IF
ABCD3,RETREG2
ABCD3,SLC39A4
ABCD3,STARD8
ABCD3,TMEM63B
ABCD3,TMEM67
ABCD3,USP32
ABCD3,USP50
ABCD4,DLEU1
ABCD4,PEA15
ABCD4,SARAF
ABCE1,DUSP22
ABCE1,MMS19
ABCE1,TMEM216
ABCE1,USP50
ABCF1,KIF14
ABCF1,PINX1
ABCF1,RPGRIP1L
ABCF1,TIGD6
ABCF3,B0V265
ABCF3,DLEU1
ABCF3,FOXL1
ABCF3,KIF14
ABCF3,MOCS2
ABCF3,NOA1
ABCF3,TOE1
ABCG1,AP1S2
ABCG2,ANLN
ABCG2,CHMP4C
ABCG2,CIT
ABCG2,DBN1
ABCG2,KIF14
ABCG2,KIF20A
ABCG2,KIF23
ABCG2,MYO5C
ABCG2,PCDH7
ABCG2,PIM1
ABCG2,SYNPO
ABCG4,GPR152
ABCG4,PLEKHF2
ABCG4,SGTB
ABCG4,TMEM50A
ABCG4,ZDHHC17
ABCG8,ABCG5
ABHD1,KASH5
ABHD10,KCMF1
ABHD11,ACAD8
ABHD11,ALDH1L1
ABHD11,ANKRD11
ABHD11,ATAD3C
ABHD11,BCKDHA
ABHD11,BOLA1
ABHD11,BOLA3
ABHD11,C1QBP
ABHD11,CHCHD4
ABHD11,DHRS4
ABHD11,DLAT
ABHD11,DOK6
ABHD11,ECH1
ABHD11,GCA
ABHD11,HOGA1
ABHD11,HR
ABHD11,HSPA9
ABHD11,HSPD1
ABHD11,MGAT5B
ABHD11,MORN3
ABHD11,MRPS36
ABHD11,OGDH
ABHD11,PMPCB
ABHD11,PRKAB2
ABHD11,PROP1
ABHD11,PRR35
ABHD11,RUSC1
ABHD11,SHMT2
ABHD11,SLC25A6
ABHD11,UBC
ABHD11,USHBP1
ABHD11,VENTX
ABHD11,VPS37C
ABHD11,WWOX
ABHD11,YTHDF1
ABHD11,ZIC1
ABHD12,TCTN2
ABHD14A,A4GALT
ABHD15,VIRMA
ABHD15,VWC2
ABHD16A,GJA5
ABHD16A,GPRC5C
ABHD16A,HTR3C
ABHD16A,IFITM1
ABHD16A,LTA
ABHD16A,MCOLN3
ABHD16A,MT-CO2
ABHD16A,MT-ND4
ABHD16A,MT-ND4L
ABHD16A,PILRB
ABHD16A,PRAF2
ABHD16A,PTGS2
ABHD16A,Q9T9Y2
ABHD16A,SAFB
ABHD16A,SEC22B
ABHD16A,SERF1B
ABHD16A,SPAG7
ABHD16A,TM4SF19-DYNLT2B
ABHD16A,UPI0000411897
ABHD17A,B0V265
ABHD17A,DYNLT2B
ABHD17A,EHMT2
ABHD17A,GOLGA2
ABHD17A,HPGDS
ABHD17A,KRTAP5-9
ABHD17A,PNMA1
ABHD17A,RGS20
ABHD17A,TNIP1
ABHD17A,TRIM27
ABHD17A,VPS28
ABHD17B,A4GALT
ABHD17C,APBB2
ABHD17C,PEX26
ABHD18,SELENOO
ABHD3,HTR3C
ABHD3,KLK15
ABHD4,AURKAIP1
ABHD4,BNIP2
ABHD4,CMTM5
ABHD4,COL4A5
